id,domain,vagueness,text
N01,Consulting,Ultra-vague,I want to build a mobile app for my business.
N02,Consulting,Ultra-vague,I need a chatbot on my website to handle customer questions.
N03,Consulting,Ultra-vague,I want to create a blog and grow an audience online.
N04,Consulting,Ultra-vague,Help me build an API for my application.
N05,Consulting,Ultra-vague,I want a booking system for my service business.
N06,Consulting,Ultra-vague,I need a CRM tool for my small sales team.
N07,Consulting,Ultra-vague,"I want to redesign my company website, it looks outdated."
N08,Consulting,Ultra-vague,I need an analytics dashboard to track my business metrics.
N09,Consulting,Ultra-vague,Help me launch a newsletter for my audience.
N10,Consulting,Medium,"I'm building an HR tool for remote teams. It needs to handle time-off requests, employee onboarding checklists, and an org chart. Should be accessible from mobile."
N11,Consulting,Medium,"I want a fitness coaching app. Users should get personalized workout plans, track progress with charts, log meals, and subscribe monthly. Trainer dashboard needed."
N12,Consulting,Medium,"I need a real estate listing website. Visitors can search by city, price, and property type. Each listing has photos, a map, and a contact form for the agent."
N13,Consulting,Medium,"Our company needs a corporate intranet. Employees should find documents, see the team directory, read announcements, and submit IT helpdesk tickets."
N14,Consulting,Medium,"I'm building a tutoring marketplace. Students post their needs, tutors apply, they schedule video sessions through the platform, and payment is handled in-app with a 15% commission."
N15,Consulting,Medium,"I want an events ticketing site for live music. Organisers create events, set seat maps, and attendees buy tickets with Stripe. QR code entry at the door. Email confirmations."
N16,Consulting,Medium,"I need a travel agency website with searchable tour packages, online booking requests, a blog with destination guides, and a testimonials section."
N17,Consulting,Medium,"I'm launching a job board for tech startups. Companies post roles, candidates apply with their LinkedIn or a CV upload, and hiring managers get an applicant dashboard. Email alerts for new applications."
N18,Consulting,Medium,"I need an expense management tool for my 20-person company. Employees upload receipts, their manager approves, and the finance team exports to Excel. Monthly budget reports per team."
N19,Consulting,Medium,I want a delivery tracking app for my local courier business. Drivers have a mobile app to mark deliveries done and capture signatures. Customers get an SMS link to track their parcel in real time.
N20,Consulting,Medium,"I'm building an online coding bootcamp platform. I need video lessons, interactive coding exercises, quizzes, a leaderboard, and a certificate generator when students complete a module."
N21,Consulting,Medium,"I want to build a community forum for indie game developers. Users create topics, vote on posts, showcase their games with screenshots, and get badges for contributions. Moderation tools needed."
N22,Consulting,Detailed,"I'm launching a B2C subscription box for organic skincare. Monthly and quarterly plans at €45/€120. Customers take a skin-type quiz at signup to personalise boxes. Referral program: €10 credit per referred friend who subscribes. Shopify storefront, Recharge for subscriptions, Klaviyo for email flows. Need a dashboard showing churn rate, LTV, and box contents performance. Target: French market first."
N23,Consulting,Detailed,"I need a patient portal for our private clinic. Patients can message their doctor securely, book appointments, view lab results and prescriptions, and fill pre-consultation forms. Must be HIPAA-compliant (EU equivalent: RGPD healthcare). Two-factor authentication mandatory. Mobile-first. Integration with our existing Doctolib calendar and HL7 FHIR for lab data import."
N24,Consulting,Detailed,"I'm building a SaaS for restaurant chains with 10+ locations. Features: centralised inventory management with automatic low-stock alerts, staff scheduling with shift swaps, daily sales sync from POS (Toast and Lightspeed), and a GM performance dashboard. Multi-tenant architecture so each chain has isolated data. Pricing: €199/location/month. Launch in 6 months."
N25,Consulting,Detailed,"We're building a B2B procurement platform for mid-sized manufacturers. Buyers request quotes from multiple suppliers, compare responses, and approve POs with a 3-step approval workflow. Integration with SAP ERP via REST API. Suppliers have a vendor portal. All documents (POs, invoices, delivery notes) stored with version control. GDPR compliant. Audit log for all actions. SOC 2 Type II certification required."
N26,Consulting,Detailed,"I need a fintech dashboard for retail investors. Real-time portfolio tracking with P&L, allocation breakdown by sector/geography/asset class. Integrated news feed filtered by holdings. Stock screener with 30+ filters. Watchlist with price alerts. Brokerage integration: Interactive Brokers and Degiro via OAuth. User authentication with biometrics on mobile. Free tier (3 portfolios) and Pro at €15/month (unlimited). GDPR, no data selling."
N27,Consulting,Detailed,"Our logistics company needs a platform for SME importers. Features: freight quote aggregation from 5 carriers (API integration), real-time shipment tracking, automated customs document generation (commercial invoice, packing list, bill of lading), HS code lookup, and a compliance alert system for embargoed goods. Multi-currency: EUR, USD, CNY. Customer-facing portal + internal ops dashboard. Target: 200 SME clients in Year 1."
N28,Consulting,Detailed,"I'm launching a marketplace for professional services (lawyers, accountants, HR consultants) in France. Professionals create verified profiles (SIRET check, bar association number). Clients browse, read reviews, and book consultations. Payment in escrow (Mangopay), released after service confirmed. Dispute resolution workflow. SEO is critical — we need structured data markup for all profiles. Commission: 12% per booking. Legal compliance: professional liability insurance verification."
N29,Consulting,Detailed,"Our edtech startup needs a K-12 learning platform for private schools. Teacher dashboard to create assignments, track completion, and grade. Student interface with gamified progress (XP, badges, leaderboard). Parent portal to follow child's progress and message teachers. Curriculum aligned to French national curriculum (CP to Terminale). GDPR for minors (parental consent flows). LTI integration with existing school SIS (Pronote). Pricing: B2B annual license per school (€2,000-€20,000 depending on size)."
N30,Consulting,Detailed,"I need a complete digital marketing infrastructure for a D2C cosmetics brand launching in France and Germany. This includes: Shopify storefront (bilingual FR/DE), Google Ads and Meta Ads tracking with server-side events (GA4 + Meta CAPI), a post-purchase email and SMS sequence (Klaviyo), influencer affiliate tracking (Impact.com), a loyalty program (points per purchase, tiered rewards), and a monthly performance dashboard showing ROAS, CAC, LTV by channel. Budget tracking: €15k/month ad spend, target CAC < €25, LTV/CAC > 4."
N31,Medical,Ultra-vague,Patient has prostate cancer. On hormone therapy. Seems to be doing fine.
N32,Medical,Ultra-vague,Got a referral for a patient with possible lymphoma. Biopsy not done yet.
N33,Medical,Ultra-vague,"Post-op patient, head and neck. Need to plan follow-up."
N34,Medical,Ultra-vague,"Young patient, suspected leukemia. Parents very anxious. Need next steps."
N35,Medical,Ultra-vague,Patient finished radiation last month. Now in surveillance. Everything looks okay.
N36,Medical,Ultra-vague,Elderly patient with colon cancer. He doesn't want aggressive treatment.
N37,Medical,Ultra-vague,Patient on myeloma treatment. Bone pain is better. Monthly infusions ongoing.
N38,Medical,Ultra-vague,"New patient, thyroid cancer, very early stage. Labs all normal. What do we do?"
N39,Medical,Ultra-vague,Patient has a brain tumor. Currently stable on steroids. Follow-up needed.
N40,Medical,Ultra-vague,Patient diagnosed with ovarian cancer. Just told the family. Next steps unclear.
N41,Medical,Medium,"55-year-old male, stage III colon cancer (T3N2M0). Completed 8 cycles of FOLFOX adjuvant chemotherapy 4 months ago. Now starting surveillance: CT every 6 months, CEA monthly. No current symptoms."
N42,Medical,Medium,"Patient with EGFR-mutant NSCLC (exon 19 deletion), stage IVB, on osimertinib 80mg daily. 6-month restaging CT shows stable disease, no new lesions. Tolerating treatment well, mild diarrhea grade 1."
N43,Medical,Medium,"48-year-old female, cervical cancer stage IB2, HPV-positive. Planning concurrent chemoradiation: cisplatin weekly + pelvic EBRT (45 Gy/25 fractions) followed by brachytherapy boost. No prior treatment."
N44,Medical,Medium,"Patient post-allogeneic stem cell transplant for AML, day +120. Developing signs of mild skin GVHD (grade I). Currently on tacrolimus and methylprednisolone. CMV monitoring negative. Chimerism 98%."
N45,Medical,Medium,"67-year-old male, urothelial carcinoma, underwent radical cystectomy 6 months ago (pT3N1). Started adjuvant nivolumab 3 months ago. Recent CT: no evidence of recurrence. PSA undetectable. Tolerating immunotherapy."
