prompt_id,domain,vagueness,annotation_tier,coverage_scorer,param_name,param_weight,scorer_status,scorer_evidence,human_status,human_notes
N09,Consulting,Ultra-vague,clear,0.1789,main_content_purpose,100,MENTIONED,Primary Goal: Client Input Required,MENTIONED,
N09,Consulting,Ultra-vague,clear,0.1789,target_audience,95,MENTIONED,Target Audience Demographics: Client Input Required,MENTIONED,
N09,Consulting,Ultra-vague,clear,0.1789,pages_structure,90,RESOLVED,signup form must be available; dedicated landing page,RESOLVED,
N09,Consulting,Ultra-vague,clear,0.1789,core_features,85,RESOLVED,"manage subscriber lists, drag-and-drop editor, welcome sequence, analytics",RESOLVED,
N09,Consulting,Ultra-vague,clear,0.1789,design_style,75,ABSENT,not evaluated,ABSENT,
N09,Consulting,Ultra-vague,clear,0.1789,content_ready,70,ABSENT,not evaluated,ABSENT,
N09,Consulting,Ultra-vague,clear,0.1789,existing_branding,65,ABSENT,not evaluated,ABSENT,
N09,Consulting,Ultra-vague,clear,0.1789,technical_platform,60,ABSENT,not evaluated,ABSENT,
N09,Consulting,Ultra-vague,clear,0.1789,integrations,58,ABSENT,not evaluated,ABSENT,
N09,Consulting,Ultra-vague,clear,0.1789,budget_range,55,ABSENT,not evaluated,ABSENT,
N09,Consulting,Ultra-vague,clear,0.1789,timeline,50,ABSENT,not evaluated,ABSENT,
N09,Consulting,Ultra-vague,clear,0.1789,seo_requirements,45,ABSENT,not evaluated,ABSENT,
N09,Consulting,Ultra-vague,clear,0.1789,user_accounts,40,ABSENT,not evaluated,ABSENT,
N09,Consulting,Ultra-vague,clear,0.1789,content_management,35,ABSENT,not evaluated,ABSENT,
N09,Consulting,Ultra-vague,clear,0.1789,analytics_needs,30,ABSENT,not evaluated,ABSENT,
N09,Consulting,Ultra-vague,clear,0.1789,multilingual_support,15,ABSENT,not evaluated,ABSENT,
N09,Consulting,Ultra-vague,clear,0.1789,accessibility,10,ABSENT,not evaluated,ABSENT,
P11,Consulting,Medium,clear,0.4172,main_content_purpose,100,RESOLVED,"track sales leads, assign tasks, pipeline overview",RESOLVED,
P11,Consulting,Medium,clear,0.4172,target_audience,95,RESOLVED,"team of 10 people; Administrator, Team Member roles",RESOLVED,
P11,Consulting,Medium,clear,0.4172,pages_structure,90,MENTIONED,"dashboard, User Management, Lead Management sections",MENTIONED,
P11,Consulting,Medium,clear,0.4172,core_features,85,RESOLVED,"User auth, Lead management, Task management, Pipeline visualization",RESOLVED,
P11,Consulting,Medium,clear,0.4172,design_style,75,MENTIONED,prioritizes functionality... over elaborate aesthetics,MENTIONED,
P11,Consulting,Medium,clear,0.4172,content_ready,70,ABSENT,Not addressed,ABSENT,
P11,Consulting,Medium,clear,0.4172,existing_branding,65,ABSENT,Not addressed,ABSENT,
P11,Consulting,Medium,clear,0.4172,technical_platform,60,MENTIONED,Mobile application out of scope (implies web),RESOLVED,
P11,Consulting,Medium,clear,0.4172,integrations,58,RESOLVED,"External CRM, email, calendars out of scope",RESOLVED,
P11,Consulting,Medium,clear,0.4172,budget_range,55,ABSENT,Not addressed,ABSENT,
P11,Consulting,Medium,clear,0.4172,timeline,50,ABSENT,Not addressed,ABSENT,
P11,Consulting,Medium,clear,0.4172,seo_requirements,45,ABSENT,Not addressed,ABSENT,
P11,Consulting,Medium,clear,0.4172,user_accounts,40,RESOLVED,"User authentication, Administrator/Team Member roles defined",RESOLVED,
P11,Consulting,Medium,clear,0.4172,content_management,35,MENTIONED,Roles define who can create/edit leads/tasks,RESOLVED,
P11,Consulting,Medium,clear,0.4172,analytics_needs,30,RESOLVED,Sales pipeline visualization; complex analytics out of scope,RESOLVED,
P11,Consulting,Medium,clear,0.4172,multilingual_support,15,ABSENT,Not addressed,ABSENT,
P11,Consulting,Medium,clear,0.4172,accessibility,10,ABSENT,Not addressed,ABSENT,
P10,Consulting,Medium,clear,0.4376,main_content_purpose,100,RESOLVED,"showcase work, get clients, professional presence",RESOLVED,
P10,Consulting,Medium,clear,0.4376,target_audience,95,RESOLVED,"freelance clients, industry peers, recruiters",RESOLVED,
P10,Consulting,Medium,clear,0.4376,pages_structure,90,RESOLVED,"Home, Portfolio, About, Blog, Contact, Privacy, 404",RESOLVED,
P10,Consulting,Medium,clear,0.4376,core_features,85,RESOLVED,"gallery, contact form, blog, filtering, social sharing",RESOLVED,
P10,Consulting,Medium,clear,0.4376,design_style,75,MENTIONED,"visually appealing grid, custom-designed 404",RESOLVED,
P10,Consulting,Medium,clear,0.4376,content_ready,70,ABSENT,Not addressed,ABSENT,
P10,Consulting,Medium,clear,0.4376,existing_branding,65,ABSENT,Not addressed,ABSENT,
P10,Consulting,Medium,clear,0.4376,technical_platform,60,MENTIONED,"portfolio website, responsive manner",RESOLVED,
P10,Consulting,Medium,clear,0.4376,integrations,58,RESOLVED,"Social Sharing buttons (LinkedIn, Pinterest, X/Twitter)",RESOLVED,
P10,Consulting,Medium,clear,0.4376,budget_range,55,ABSENT,Not addressed,ABSENT,
P10,Consulting,Medium,clear,0.4376,timeline,50,ABSENT,Not addressed,ABSENT,
P10,Consulting,Medium,clear,0.4376,seo_requirements,45,MENTIONED,attract and convert website visitors,RESOLVED,
P10,Consulting,Medium,clear,0.4376,user_accounts,40,ABSENT,Not addressed,ABSENT,
P10,Consulting,Medium,clear,0.4376,content_management,35,MENTIONED,designer to define and manage custom categories,RESOLVED,
P10,Consulting,Medium,clear,0.4376,analytics_needs,30,ABSENT,Not addressed,ABSENT,
P10,Consulting,Medium,clear,0.4376,multilingual_support,15,ABSENT,Not addressed,ABSENT,
P10,Consulting,Medium,clear,0.4376,accessibility,10,ABSENT,Not addressed,ABSENT,
N13,Consulting,Medium,clear,0.7188,main_content_purpose,100,RESOLVED,primary goal... central hub for employees,RESOLVED,
N13,Consulting,Medium,clear,0.7188,target_audience,95,RESOLVED,for employees,RESOLVED,
N13,Consulting,Medium,clear,0.7188,pages_structure,90,RESOLVED,"Personalized Dashboard, DMS, Team Directory, Announcements, IT Helpdesk",RESOLVED,
N13,Consulting,Medium,clear,0.7188,core_features,85,RESOLVED,"DMS, Team Directory, Announcements, IT Helpdesk, Global Search",RESOLVED,
N13,Consulting,Medium,clear,0.7188,design_style,75,RESOLVED,"incorporate company branding, logo, color scheme, typography",RESOLVED,
N13,Consulting,Medium,clear,0.7188,content_ready,70,ABSENT,Not addressed,ABSENT,
N13,Consulting,Medium,clear,0.7188,existing_branding,65,RESOLVED,"incorporate company branding, including logo, color scheme",RESOLVED,
N13,Consulting,Medium,clear,0.7188,technical_platform,60,RESOLVED,"web-based, mobile-responsive design is a requirement",RESOLVED,
N13,Consulting,Medium,clear,0.7188,integrations,58,RESOLVED,integrated with Active Directory/LDAP or SSO,RESOLVED,
N13,Consulting,Medium,clear,0.7188,budget_range,55,ABSENT,Not addressed,ABSENT,
N13,Consulting,Medium,clear,0.7188,timeline,50,ABSENT,Not addressed,ABSENT,
N13,Consulting,Medium,clear,0.7188,seo_requirements,45,ABSENT,Not addressed,ABSENT,
N13,Consulting,Medium,clear,0.7188,user_accounts,40,RESOLVED,"User Roles: Employee, Content Admin, IT Agent, System Admin",RESOLVED,
N13,Consulting,Medium,clear,0.7188,content_management,35,RESOLVED,"Content Administrator role defined for managing documents, announcements",RESOLVED,
N13,Consulting,Medium,clear,0.7188,analytics_needs,30,MENTIONED,Advanced analytics dashboards for content consumption (Out of scope),RESOLVED,
N13,Consulting,Medium,clear,0.7188,multilingual_support,15,ABSENT,Not addressed,ABSENT,
N13,Consulting,Medium,clear,0.7188,accessibility,10,ABSENT,Not addressed,ABSENT,
P16,Consulting,Detailed,clear,0.637,main_content_purpose,100,RESOLVED,multi-vendor e-commerce marketplace specializing in vintage clothing,RESOLVED,
P16,Consulting,Detailed,clear,0.637,target_audience,95,RESOLVED,Individuals aged 18-35 in France,RESOLVED,
P16,Consulting,Detailed,clear,0.637,pages_structure,90,RESOLVED,"seller registration, product listing, review system, admin dashboard",RESOLVED,
P16,Consulting,Detailed,clear,0.637,core_features,85,RESOLVED,"ID verification, product listing, Stripe Connect, review system, dispute",RESOLVED,
P16,Consulting,Detailed,clear,0.637,design_style,75,ABSENT,Not addressed.,ABSENT,
P16,Consulting,Detailed,clear,0.637,content_ready,70,ABSENT,Not addressed.,ABSENT,
P16,Consulting,Detailed,clear,0.637,existing_branding,65,ABSENT,Not addressed.,ABSENT,
P16,Consulting,Detailed,clear,0.637,technical_platform,60,RESOLVED,A mobile-first approach,RESOLVED,
P16,Consulting,Detailed,clear,0.637,integrations,58,RESOLVED,Stripe Connect for split payments,RESOLVED,
P16,Consulting,Detailed,clear,0.637,budget_range,55,ABSENT,Not addressed.,ABSENT,
P16,Consulting,Detailed,clear,0.637,timeline,50,RESOLVED,launch within 4 months,RESOLVED,
P16,Consulting,Detailed,clear,0.637,seo_requirements,45,RESOLVED,"Strong SEO, high visibility through effective SEO strategies",RESOLVED,
P16,Consulting,Detailed,clear,0.637,user_accounts,40,RESOLVED,"register for an account using email and password, social login",RESOLVED,
P16,Consulting,Detailed,clear,0.637,content_management,35,MENTIONED,"Sellers shall be able to create, edit, and delete product listings",RESOLVED,
P16,Consulting,Detailed,clear,0.637,analytics_needs,30,MENTIONED,monitoring platform performance,RESOLVED,
P16,Consulting,Detailed,clear,0.637,multilingual_support,15,ABSENT,Not addressed.,ABSENT,
P16,Consulting,Detailed,clear,0.637,accessibility,10,ABSENT,Not addressed.,ABSENT,
N15,Consulting,Medium,ambiguous,0.4836,main_content_purpose,100,RESOLVED,events ticketing site for live music,RESOLVED,
N15,Consulting,Medium,ambiguous,0.4836,target_audience,95,RESOLVED,"Organisers, attendees, QR code entry (Door Staff)",RESOLVED,
N15,Consulting,Medium,ambiguous,0.4836,pages_structure,90,MENTIONED,"create events, set seat maps, buy tickets imply pages",RESOLVED,
N15,Consulting,Medium,ambiguous,0.4836,core_features,85,RESOLVED,"create events, set seat maps, buy tickets, QR code, Email confirmations",RESOLVED,
N15,Consulting,Medium,ambiguous,0.4836,design_style,75,ABSENT,"No mention of design, style, or aesthetic",ABSENT,
N15,Consulting,Medium,ambiguous,0.4836,content_ready,70,ABSENT,No mention of content readiness,ABSENT,
N15,Consulting,Medium,ambiguous,0.4836,existing_branding,65,ABSENT,No mention of branding elements,ABSENT,
N15,Consulting,Medium,ambiguous,0.4836,technical_platform,60,RESOLVED,site (implies web),RESOLVED,
N15,Consulting,Medium,ambiguous,0.4836,integrations,58,RESOLVED,"Stripe, QR code",RESOLVED,
N15,Consulting,Medium,ambiguous,0.4836,budget_range,55,ABSENT,No mention of budget,ABSENT,
N15,Consulting,Medium,ambiguous,0.4836,timeline,50,ABSENT,No mention of timeline,ABSENT,
N15,Consulting,Medium,ambiguous,0.4836,seo_requirements,45,ABSENT,No mention of SEO,ABSENT,
N15,Consulting,Medium,ambiguous,0.4836,user_accounts,40,RESOLVED,"Organisers create events, attendees buy tickets",RESOLVED,
N15,Consulting,Medium,ambiguous,0.4836,content_management,35,RESOLVED,"Organisers create events, set seat maps",RESOLVED,
N15,Consulting,Medium,ambiguous,0.4836,analytics_needs,30,ABSENT,No mention of analytics,ABSENT,
N15,Consulting,Medium,ambiguous,0.4836,multilingual_support,15,ABSENT,No mention of languages,ABSENT,
N15,Consulting,Medium,ambiguous,0.4836,accessibility,10,ABSENT,No mention of accessibility,ABSENT,
N12,Consulting,Medium,ambiguous,0.455,main_content_purpose,100,RESOLVED,primary goal is to provide a platform where visitors can search,RESOLVED,
N12,Consulting,Medium,ambiguous,0.455,target_audience,95,RESOLVED,"Visitors: Individuals, Real Estate Agents: Professionals, Administrators: Personnel",RESOLVED,
N12,Consulting,Medium,ambiguous,0.455,pages_structure,90,RESOLVED,"Homepage, Search Functionality, Listing Search, Agent Login",RESOLVED,
N12,Consulting,Medium,ambiguous,0.455,core_features,85,RESOLVED,"search by City, Price Range, Property Type; manage listings",RESOLVED,
