prompt_id,domain,vagueness,text,char_len,word_count,dup_text_with,final_cov,n_turns,realistic,domain_unambiguous,vagueness_label_ok,taxonomy_covers_intent,oracle_consistent,edge_case_flag,reviewer_verdict,reviewer_note
N01,Consulting,Ultra-vague,I want to build a mobile app for my business.,45,10,,0.908,11,,,,,,,,
N02,Consulting,Ultra-vague,I need a chatbot on my website to handle customer questions.,60,11,,0.908,9,,,,,,,,
N03,Consulting,Ultra-vague,I want to create a blog and grow an audience online.,52,11,,0.9335,12,,,,,,,,
N04,Consulting,Ultra-vague,Help me build an API for my application.,40,8,,0.908,11,,,,,,,,
N05,Consulting,Ultra-vague,I want a booking system for my service business.,48,9,,0.9387,10,,,,,,,,
N06,Consulting,Ultra-vague,I need a CRM tool for my small sales team.,42,10,,0.9387,10,,,,,,,,
N07,Consulting,Ultra-vague,"I want to redesign my company website, it looks outdated.",57,10,,0.9284,10,,,,,,,,
N08,Consulting,Ultra-vague,I need an analytics dashboard to track my business metrics.,59,10,,0.9387,11,,,,,,,,
N09,Consulting,Ultra-vague,Help me launch a newsletter for my audience.,44,8,,0.9335,11,,,,,,,,
N10,Consulting,Medium,"I'm building an HR tool for remote teams. It needs to handle time-off requests, employee onboarding checklists, and an org chart. Should be accessible from mobile.",163,26,,0.9744,8,,,,,,,,
N11,Consulting,Medium,"I want a fitness coaching app. Users should get personalized workout plans, track progress with charts, log meals, and subscribe monthly. Trainer dashboard needed.",163,24,,0.9387,7,,,,,,,,
N12,Consulting,Medium,"I need a real estate listing website. Visitors can search by city, price, and property type. Each listing has photos, a map, and a contact form for the agent.",158,29,,0.9387,9,,,,,,,,
N13,Consulting,Medium,"Our company needs a corporate intranet. Employees should find documents, see the team directory, read announcements, and submit IT helpdesk tickets.",148,21,,0.9182,10,,,,,,,,
N14,Consulting,Medium,"I'm building a tutoring marketplace. Students post their needs, tutors apply, they schedule video sessions through the platform, and payment is handled in-app with a 15% commission.",181,27,,0.908,7,,,,,,,,
N15,Consulting,Medium,"I want an events ticketing site for live music. Organisers create events, set seat maps, and attendees buy tickets with Stripe. QR code entry at the door. Email confirmations.",175,29,,0.9284,6,,,,,,,,
N16,Consulting,Medium,"I need a travel agency website with searchable tour packages, online booking requests, a blog with destination guides, and a testimonials section.",146,22,,0.9387,9,,,,,,,,
